TIME(s)	CPUs
35.67975330352783	1
35.672924280166626	2
35.68291783332825	4
35.732704401016235	8
35.83659315109253	16
35.689563035964966	32
35.65989899635315	64
35.65569519996643	1
35.66833543777466	2
35.73026156425476	4
35.82137942314148	8
35.687625885009766	16
35.739328145980835	32
35.70205783843994	64
35.66761660575867	1
35.66937279701233	2
35.649598121643066	4
35.80280065536499	8
35.64634156227112	16
35.738847970962524	32
35.63554835319519	64
35.65889358520508	1
35.67456912994385	2
35.716142654418945	4
35.801135301589966	8
35.71037030220032	16
35.894490480422974	32
35.61600708961487	64
35.711613178253174	1
35.653796672821045	2
35.658024311065674	4
35.8976776599884	8
35.69098687171936	16
35.85189247131348	32
35.74766421318054	64
35.64745473861694	1
35.63776183128357	2
35.668182373046875	4
35.66753935813904	8
35.64125370979309	16
35.776004791259766	32
35.836854696273804	64
35.739155292510986	1
35.64572501182556	2
35.74396800994873	4
35.72460603713989	8
35.66512894630432	16
35.703720808029175	32
35.68648314476013	64
35.69197654724121	1
35.73700428009033	2
35.72981548309326	4
35.83265018463135	8
35.77289414405823	16
35.70384502410889	32
35.742711782455444	64
35.65665054321289	1
35.68217897415161	2
35.65467119216919	4
35.78474259376526	8
35.72009491920471	16
35.870628356933594	32
35.86620092391968	64
35.68863081932068	1
35.70134425163269	2
35.74636268615723	4
35.75432872772217	8
35.69329023361206	16
35.856173038482666	32
35.870206117630005	64
