TIME(s)	CPUs
25.241946	64
25.272068	64
25.413399	64
25.146144	64
25.233456	64
25.354251	64
25.317835	64
25.230719	64
25.359734	64
26.307588	64
26.182835	32
26.237981	32
27.17623	32
27.238117	32
27.232302	32
27.515289	32
26.953811	32
26.936869	32
27.059775	32
27.011848	32
29.526346	16
29.906586	16
29.857685	16
29.534606	16
30.029912	16
30.034226	16
28.661612	16
28.942283	16
28.904618	16
31.510893	8
34.081414	8
34.097669	8
33.29203	8
33.347842	8
33.554927	8
33.317755	8
33.26377	8
33.563673	8
33.395943	8
40.316269	4
41.702764	4
41.299381	4
41.703225	4
41.573241	4
44.252624	4
38.763095	4
42.576178	4
43.141355	4
42.596206	4
57.759331	2
59.788976	2
63.601088	2
63.270499	2
63.26806	2
63.061402	2
58.770685	2
59.075027	2
60.174612	2
60.35104	2
65.668093	1
65.739877	1
63.657909	1
62.241186	1
62.12208	1
64.916399	1
65.382806	1
64.518557	1
65.6199	1
61.113751	1
24.311807	64
24.846851	64
