TIME(s)	CPUs
2.140457	1
2.1446	1
2.21287	1
2.209984	1
2.118165	1
2.158761	1
2.163828	1
2.100259	1
2.069897	1
1.983198	1
2.149637	2
2.198949	2
2.272723	2
2.287067	2
2.13164	2
2.208667	2
2.053275	2
2.154742	2
2.067216	2
2.006832	2
2.089007	4
2.10475	4
2.099186	4
2.044766	4
2.061417	4
2.090397	4
2.028292	4
2.093412	4
1.994769	4
1.98409	4
2.017375	8
2.032811	8
2.075492	8
2.074773	8
2.025187	8
2.030761	8
2.020157	8
2.023428	8
2.000979	8
2.016615	8
2.009847	16
2.030475	16
2.020898	16
2.004441	16
2.008424	16
2.004783	16
2.004782	16
2.024417	16
1.98492	16
1.987858	16
1.997409	32
1.994687	32
2.014668	32
1.989305	32
2.00202	32
2.007086	32
2.020149	32
1.98215	32
1.98152	32
1.974041	32
1.996429	64
1.988066	64
1.997056	64
1.983281	64
1.987583	64
1.977234	64
1.996797	64
1.976788	64
1.988316	64
1.975533	64
