TIME(s)	CPUs
6.584912285208702	1
5.448760248720646	2
3.439260743558407	4
2.549148678779602	8
2.31860114634037	16
2.188267581164837	32
2.151192218065262	64
6.566736683249474	1
5.442874453961849	2
3.470210038125515	4
2.5680763944983482	8
2.3560103476047516	16
2.167201243340969	32
2.0848738849163055	64
6.665431410074234	1
5.556998446583748	2
3.502490498125553	4
2.5363902524113655	8
2.3392725586891174	16
2.1825879961252213	32
2.095361180603504	64
6.5851119086146355	1
5.481881372630596	2
3.4806174114346504	4
2.5477354526519775	8
2.3269149512052536	16
2.2268376648426056	32
2.14333725720644	64
6.60356830060482	1
5.456583224236965	2
3.4739976450800896	4
2.528234802186489	8
2.33806362003088	16
2.1821939572691917	32
2.1863449960947037	64
6.605304911732674	1
5.499297149479389	2
3.4304043501615524	4
2.52739504724741	8
2.2665706649422646	16
2.2005143240094185	32
2.1164484173059464	64
6.5872218534350395	1
5.483373887836933	2
3.478454068303108	4
2.565057411789894	8
2.3321311697363853	16
2.179867334663868	32
2.1653139740228653	64
6.565589666366577	1
5.450730584561825	2
3.4590922370553017	4
2.518417961895466	8
2.3503895848989487	16
2.2236670404672623	32
2.135678231716156	64
6.5823130533099174	1
5.646502107381821	2
3.3831639736890793	4
2.615769699215889	8
2.311308093369007	16
2.1952869594097137	32
2.1601812094449997	64
6.58706746250391	1
5.4710021540522575	2
3.4609701707959175	4
2.529585398733616	8
2.3141480460762978	16
2.234809026122093	32
2.116928644478321	64
