TIME(s)	CPUs
12929.306530475616	1
13641.803749084473	1
13735.031921386719	1
13863.716025829315	1
14039.011499166489	1
14271.248778104782	1
13443.36931347847	1
13086.187568187714	1
13339.699166536331	1
13034.58711028099	1
13166.686969995499	2
13476.429265975952	2
12922.423316717148	2
13791.351700544357	2
13396.408643960953	2
12810.647870063782	2
12831.811295747757	2
12651.053985357285	2
6955.656517982483	4
7163.88237118721	4
7127.358037233353	4
9734.126462697983	4
13397.718866586685	2
13617.04352092743	2
6975.185145378113	4
7015.943667173386	4
7408.876120090485	4
3799.79692196846	8
3949.0424189567566	8
7974.653404951096	4
3762.7134461402893	8
6587.124457359314	4
6798.395179271698	4
3907.825230360031	8
3673.440892457962	8
4012.6916019916534	8
3797.2066717147827	8
3774.3433701992035	8
3498.001091003418	8
2474.0830371379852	16
2591.650061607361	16
2330.0799362659454	16
2323.9532256126404	16
3944.7781603336334	8
2267.2034533023834	16
2443.711516857147	16
2352.570764064789	16
2524.9208047389984	16
1916.406171321869	32
2197.095299243927	16
2554.318624973297	16
1574.0686120986938	32
1482.6618764400482	32
2490.6546194553375	32
2322.658540248871	32
2219.5001628398895	32
1658.5337672233582	32
2580.804107427597	32
1463.7933433055878	32
1147.6934070587158	64
1123.3656921386719	64
1671.966509103775	64
2468.0960969924927	32
1682.6306071281433	64
2788.2433388233185	32
1196.0859110355377	64
1247.039112329483	64
1482.7380363941193	64
1073.3174118995667	64
1543.2591919898987	64
1990.8878045082092	64
1169.4791595935822	64
1275.3802874088287	64
1206.342086315155	128
