TIME(s)	CPUs
1150.6017365455627	64
1290.9141509532928	64
1020.3720853328705	64
1275.5066676139832	64
1098.7521953582764	64
1112.4926772117615	64
1161.526496887207	64
1337.3043038845062	64
1081.6467621326447	64
1264.140043258667	64
1214.2266652584076	32
1262.370931148529	32
1294.4371671676636	32
1311.3971593379974	32
1155.2153406143188	32
1111.3109376430511	32
1191.067966222763	32
1252.8498163223267	32
1109.086386680603	32
1127.9203271865845	32
1095.5197701454163	16
1252.4577765464783	16
1230.2690906524658	16
1309.0858285427094	16
1067.628362417221	16
1263.6861808300018	16
1200.7241909503937	16
1085.4088497161865	16
1081.0186944007874	16
1219.5901372432709	16
1191.632981300354	16
1310.7754595279694	8
1484.8361740112305	8
1377.2376022338867	8
1638.2812900543213	8
1464.547777891159	8
1086.6970188617706	8
1242.5279049873352	8
1220.7385277748108	8
1448.6186077594757	8
1521.4771773815155	8
1874.0447192192078	4
1783.0504896640778	4
1783.4618797302246	4
1900.941662311554	4
1848.5386872291565	4
1839.7421853542328	4
1858.418817281723	4
1768.8732430934906	4
1745.3087878227234	4
1730.224065065384	4
2766.526530265808	2
2704.925190925598	2
2817.301397562027	2
2981.4919214248657	2
2809.5098402500153	2
2573.7956025600433	2
2561.0170443058014	2
2795.543449640274	2
2772.453294277191	2
2563.6378965377808	1
2834.2515392303467	2
2953.6162955760956	1
2587.949273109436	1
2814.101856946945	1
2907.8381600379944	1
2554.4033427238464	1
2785.38006067276	1
2772.171143770218	1
2747.396224975586	1
2643.9157538414	1
