TIME(s)	CPUs
2554.878	8
5075.672	2
2543.074	8
1438.306	16
1438.814	16
2844.706	4
7910.221	1
2839.51	4
1441.043	16
7911.829	1
7875.502	1
7892.998	1
937.689	32
2847.744	4
922.647	32
814.876	64
5044.611	2
818.731	64
5032.894	2
2843.198	4
1438.368	16
2840.505	4
1432.468	16
1556.685	8
2568.749	8
2564.669	8
2548.944	8
812.604	64
5049.023	2
813.166	64
5041.234	2
925.476	32
926.33	32
7893.383	1
7883.546	1
814.966	64
814.839	64
5032.505	2
927.891	32
5062.075	2
920.675	32
813.849	64
7883.718	1
7899.743	1
1426.598	16
2844.616	4
2838.687	4
1431.375	16
2836.195	4
2566.906	8
1556.729	8
925.81	32
7848.177	1
7887.407	1
923.004	32
1440.514	16
814.441	64
5040.22	2
935.655	32
5042.672	2
922.728	32
813.867	64
5035.063	2
2561.851	8
2561.848	8
814.176	64
2846.304	4
1437.085	16
1437.863	16
2835.635	4
