TIME(s)	CPUs
138.577	64
194.821	8
146.362	32
142.486	32
144.857	32
138.63	64
184.565	8
219.461	4
221.12	4
391.815	1
158.07	16
391.469	1
389.561	1
159.892	16
290.845	2
296.329	2
219.806	4
221.891	4
137.805	64
186.542	8
146.455	32
138.094	64
193.967	8
146.354	32
138.244	64
196.209	8
289.724	2
296.146	2
156.068	16
159.768	16
389.308	1
389.376	1
291.602	2
190.232	8
137.738	64
291.097	2
391.541	1
387.608	1
160.543	16
158.908	16
212.323	4
220.453	4
220.159	4
158.595	16
137.594	64
199.506	8
139.753	64
195.938	8
147.672	32
142.755	32
142.092	32
156.98	16
393.404	1
158.053	16
161.396	16
390.658	1
389.619	1
295.643	2
295.381	2
294.452	2
295.495	2
220.997	4
144.466	32
144.182	32
137.988	64
199.107	8
138.774	64
195.79	8
218.969	4
218.923	4
