CPUs Median IQR IQR_lower IQR_upper classifier
1 35.6736849546432 0.0339288115501404 35.6572113037109 35.6911401152611 AUCell
2 35.6711485385895 0.0228451490402222 35.6574313640594 35.6802765130997 AUCell
4 35.6995302438736 0.0695862174034119 35.660563826561 35.7301500439644 AUCell
8 35.7929389476776 0.0786242485046387 35.7381104826927 35.8167347311974 AUCell
16 35.6921385526657 0.0469105839729309 35.6707531809807 35.7176637649536 AUCell
32 35.7576664686203 0.142507135868073 35.7125957608223 35.8551028966904 AUCell
64 35.7223848104477 0.148012042045593 35.6665450334549 35.8145570755005 AUCell
1 17560.2574953623 271.142984572798 17424.6860030759 17695.8289876487 Celltypist
2 10281.0329579823 14.6690606735647 10273.6984276455 10288.3674883191 Celltypist
4 5968.52071621269 0 5968.52071621269 5968.52071621269 Celltypist
8 4950.31051454693 0 4950.31051454693 4950.31051454693 Celltypist
16 4920.39283110946 2.82680724933743 4919.22608774155 4922.05289499089 Celltypist
32 3691.5616690293 26.7933308035135 3671.6459634304 3698.43929423392 Celltypist
64 3130.13685811311 119.202754834667 3107.77985468134 3226.98260951601 Celltypist
1 6.58608968555927 0.0165188275277615 6.58296286128461 6.59948168881238 CIA_Python
2 5.47644176334143 0.0431225895881653 5.45219374448061 5.49531633406878 CIA_Python
4 3.46559010446072 0.033121345564723 3.44421861693263 3.47733996249735 CIA_Python
8 2.54206285253167 0.0325077772140503 2.52857245132327 2.56108022853732 CIA_Python
16 2.32952306047082 0.0237090028822422 2.31526132114232 2.33897032402456 CIA_Python
32 2.19177727028728 0.0355863943696022 2.1822924669832 2.2178788613528 CIA_Python
64 2.1395077444613 0.0413654875010252 2.11656847409904 2.15793396160007 CIA_Python
1 7.589 0.0205000000000002 7.582 7.6025 CIA_R
2 6.7245 0.00900000000000034 6.718 6.727 CIA_R
4 4.973 0.0114999999999998 4.9705 4.982 CIA_R
8 4.158 0.00649999999999995 4.157 4.1635 CIA_R
16 3.713 0.00449999999999973 3.709 3.7135 CIA_R
32 3.671 0.00800000000000001 3.664 3.672 CIA_R
64 3.612 0.0124999999999997 3.6085 3.621 CIA_R
1 8472.0845 5.8744999999999 8469.14725 8475.02175 SingleR
2 5998.701 0 5998.701 5998.701 SingleR
4 3974.891 0 3974.891 3974.891 SingleR
8 2210.22 0 2210.22 2210.22 SingleR
16 1558.344 12.8325 1552.7135 1565.546 SingleR
32 982.686 11.1265000000001 978.82 989.9465 SingleR
64 685.48 1.34350000000006 684.7375 686.081 SingleR
16 33105.5924134254 236.387794755399 32941.111532826 33177.4993275814 scANVI
32 22380.9630071744 144.233917783946 22375.713831827 22519.947749611 scANVI
64 18951.9325747266 153.272358026356 18852.4440307692 19005.7163887955 scANVI
1 4134.861 338.753999999999 3917.672 4256.426 garnett
2 4247.866 580.083 3882.467 4462.55 garnett
4 3007.159 189.7175 2924.621 3114.3385 garnett
8 2677.614 85.9939999999997 2645.925 2731.919 garnett
16 2839.689 40.2240000000002 2827.967 2868.191 garnett
32 2698.953 332.605500000001 2403.686 2736.2915 garnett
64 2692.697 155.872 2600.308 2756.18 garnett
1 2752.23974692822 4.04999786615372 2749.52111536264 2753.5711132288 scBalance
2 2750.27251577377 2.64302372932434 2749.28378868103 2751.92681241035 scBalance
4 1931.91886222363 2.94009083509445 1931.50866514444 1934.44875597954 scBalance
8 1778.38428378105 4.80223125219345 1774.67682409286 1779.47905534506 scBalance
16 1691.90889441967 15.2160071730614 1685.37024641037 1700.58625358343 scBalance
32 2027.50976622105 42.222781598568 2010.44745481014 2052.67023640871 scBalance
64 2499.9335962534 34.7344749569893 2486.09385710955 2520.82833206654 scBalance
