TIME(s)	CPUs
5679.6460773944855	1
5840.645993232725	1
5750.348464012148	1
5692.331404447557	2
3581.735631704331	64
3564.673288106917	64
5637.415998697283	2
3649.41208148003	32
4045.128029823299	4
3506.8652620315593	32
3519.698213338851	8
3700.212277889248	8
5725.672981977461	2
3531.652728319168	16
4218.819379091265	4
4227.8780143261	4
5654.2566318511945	1
3451.909630537037	16
3433.166868448255	16
3808.361602783207	32
3503.5356776714348	32
3559.8856019973737	64
5844.962000370022	2
5701.33919382095	2
3518.003341436385	64
5847.537923812869	1
5795.882300376897	1
3576.850736856461	16
4083.424946069721	4
3507.9547770023323	16
4065.3838517665818	4
3538.738129138942	8
3540.302650451665	8
3481.288103580479	8
3417.8613958358774	8
4120.913895368574	4
3544.066191673283	16
3982.152526855472	4
4025.134977102284	4
3468.297939538954	16
3491.6997795105017	16
3556.302261829378	8
3573.086167097087	8
3586.609411239623	32
5612.585429430008	2
3473.029873132701	64
3529.677373647689	64
5570.404393196101	2
3358.110598325727	64
3538.671880722043	32
3506.5172140598306	64
5239.873820066447	1
5859.568860292435	1
3555.547857999803	8
3502.497948169711	8
4128.474251031873	4
3535.880932331085	16
3565.3253462314624	16
4161.795874118806	4
5767.52263021469	1
5556.398584127425	1
5666.335863828659	2
3549.550293684006	32
3495.976541280751	64
5797.175997257234	2
3541.6731400489803	32
5550.982264280324	2
3582.629156827923	64
3598.8919754028343	32
3386.3823792934472	32
