TIME(s)	CPUs
966.7676703929899	8
824.9313726425169	8
887.733783960342	8
2814.3364973068205	2
1277.9883921146409	1
903.8452889919281	16
700.2772464752198	4
974.3019161224366	16
955.3450086116793	4
787.2627158164975	64
664.3948888778688	16
1041.1810882091481	1
1004.3187127113343	1
939.4899938106537	64
1257.5564420223234	2
1459.5647177696262	2
930.7066285610196	16
870.2627823352813	64
832.368222951889	32
971.371465682983	4
647.5163934230808	32
630.1800885200497	16
2111.137988328932	16
1208.3579373359707	4
997.8107757568355	4
811.1850275993346	8
957.7298457622528	8
815.5517191886902	8
605.8305559158321	32
649.1411366462706	32
1079.8709609508555	32
1259.1631014347086	2
636.0615184307095	64
864.9170520305637	64
1111.0549929142035	2
1002.3451001644112	1
1433.927838802336	1
1637.0127658844028	1
659.9732387065885	64
852.3366730213166	32
1162.1922826766988	2
879.8664543628693	64
859.0575664043425	32
1265.1379976272572	2
1569.2994463443754	2
915.3193938732151	64
6333.550709009166	1
1637.227150201793	1
1029.8125500678996	4
851.5230019092556	16
876.7695546150208	16
721.7317783832547	4
601.4915194511411	8
666.5298483371733	8
1223.9324779510546	1
1460.9799275398275	1
906.5661277770997	64
822.0508139133451	32
991.6656222343443	2
964.1153581142428	32
988.29592704773	2
823.401858568192	32
666.4530854225162	64
629.0100350379939	8
905.0586810111996	8
908.3986148834224	16
955.4571630954741	4
935.5443058013917	16
734.151786088943	4
777.7177324295044	4
