CPUs Median IQR IQR_lower IQR_upper classifier
1 469.707178473473 3.88286745548248 468.511343061924 472.394210517406 AUCell
2 469.906373858452 5.13734883069992 468.147862255573 473.285211086273 AUCell
4 380.5831605196 113.452872216702 277.01142001152 390.464292228222 AUCell
8 238.811560630798 0.63740873336792 238.264246463776 238.901655197144 AUCell
16 239.046619176865 0.826043248176575 238.51468616724 239.340729415417 AUCell
32 239.176929116249 0.672146618366241 238.893727719784 239.56587433815 AUCell
64 238.296128630638 1.71725273132324 238.088038742542 239.805291473866 AUCell
1 13542.5865312815 681.979531943798 13149.5654677749 13831.5449997187 Celltypist
2 13281.5478069782 602.287365138531 12854.4643009901 13456.7516661286 Celltypist
4 7071.65085220337 387.089008033276 6960.53867483139 7347.62768286467 Celltypist
8 3798.50179684162 169.919000685215 3765.62092715502 3935.53992784023 Celltypist
16 2398.14114046097 186.726459562778 2325.48490327597 2512.21136283875 Celltypist
32 2219.50016283989 863.074168562889 1616.30118966103 2479.37535822392 Celltypist
64 1261.20969986916 411.403299808502 1164.03272145987 1575.43602126837 Celltypist
128 1206.34208631516 0 1206.34208631516 1206.34208631516 Celltypist
1 1.61699998378754 0.0849490761756897 1.58198779821396 1.66693687438965 CIA_Python
2 1.72055947780609 0.100822269916534 1.69564425945282 1.79646652936935 CIA_Python
4 1.13228893280029 0.164009273052215 1.00213801860809 1.16614729166031 CIA_Python
8 0.834309220314026 0.0241060853004456 0.823606669902802 0.847712755203247 CIA_Python
16 0.82647168636322 0.0243669152259827 0.81140673160553 0.835773646831512 CIA_Python
32 0.740375518798828 0.0913312435150146 0.700158834457397 0.791490077972412 CIA_Python
64 0.511137247085571 0.00376260280609131 0.509106338024139 0.512868940830231 CIA_Python
1 64.717478 2.96525975 62.59536675 65.5606265 CIA_R
2 60.262826 3.96288125 59.25351425 63.2163955 CIA_R
4 41.7029945 1.223353 41.367846 42.591199 CIA_R
8 33.3718925 0.263025250000005 33.29846125 33.5614865 CIA_R
16 29.534606 0.964303000000001 28.942283 29.906586 CIA_R
32 27.0358115 0.277179499999999 26.9411045 27.218284 CIA_R
64 25.257007 0.146046500000001 25.20957525 25.35562175 CIA_R
1 7890.2025 14.5640000000003 7883.589 7898.153 SingleR
2 5041.953 11.5677500000002 5036.35225 5047.92 SingleR
4 2841.8515 5.79075000000012 2838.89275 2844.6835 SingleR
8 2558.363 19.4229999999998 2544.5415 2563.9645 SingleR
16 1438.0845 5.08024999999998 1433.62225 1438.7025 SingleR
32 925.643 4.7037499999999 922.797 927.50075 SingleR
64 814.3085 1.01324999999997 813.8535 814.86675 SingleR
16 25073.0959906355 2734.5519461073 25047.6434078142 27782.1953539215 scANVI
32 16676.3778818771 332.44549171254 16612.3656242453 16944.8111159578 scANVI
64 13462.3942842036 67.6343793161213 13450.0818983465 13517.7162776627 scANVI
1 5758.93554711342 168.851076781752 5660.60399323702 5829.45507001877 garnett
2 5679.33363413811 100.796463191507 5618.79307174683 5719.58953493833 garnett
4 4102.16942071915 103.273483037953 4050.19198530912 4153.46546834707 garnett
8 3539.5203897953 49.3156464099884 3506.798014462 3556.11366087198 garnett
16 3519.80375266075 67.8714773058928 3474.14839953184 3542.01987683773 garnett
32 3545.61171686649 81.0044176578513 3514.81691670418 3595.82133436203 garnett
64 3523.84035754204 64.8646571040103 3498.61170947552 3563.47636657953 garnett
1 722.541445612907 12.3529763817787 710.594988286495 722.947964668274 scBalance
2 656.800553917885 48.4127363562584 656.689501643181 705.102237999439 scBalance
4 602.325729012489 43.2302440404892 580.553167283535 623.783411324024 scBalance
8 555.585508704185 30.6227552890778 545.058505535126 575.681260824203 scBalance
16 652.264120221138 48.1226553916931 629.112359285355 677.235014677048 scBalance
32 691.378950715065 55.0458239912987 686.564710438251 741.61053442955 scBalance
64 878.755781412125 75.3855584859848 849.013749957085 924.399308443069 scBalance
