CPUs Median IQR IQR_lower IQR_upper classifier
1 4.93683171272278 0.0802772641181946 4.86964505910873 4.94992232322693 AUCell
2 4.5637127161026 0.290684223175049 4.30076825618744 4.59145247936249 AUCell
4 3.64671206474304 0.074426531791687 3.58351755142212 3.65794408321381 AUCell
8 3.50044476985931 0.0222263336181645 3.49315494298935 3.51538127660751 AUCell
16 3.49649119377136 0.0163586139678955 3.48766314983368 3.50402176380157 AUCell
32 3.40838098526001 0.022981584072113 3.40316754579544 3.42614912986755 AUCell
64 3.39681899547577 0.00723946094512939 3.39246517419815 3.39970463514328 AUCell
1 2759.7836843729 204.980514585972 2601.94089329243 2806.9214078784 Celltypist
2 2783.99837195873 95.0279824733734 2720.32552576065 2815.35350823402 Celltypist
4 1811.60203254223 83.531230032444 1772.41755473614 1855.94878476858 Celltypist
8 1412.92810499668 220.174281358719 1259.58979362249 1479.76407498121 Celltypist
16 1200.72419095039 150.899123668671 1090.4643099308 1241.36343359947 Celltypist
32 1202.64731574059 125.24657189846 1134.74408054352 1259.99065244198 Celltypist
64 1156.06411671638 170.477695703506 1102.18731582165 1272.66501152515 Celltypist
1 0.278403520584106 0.00877881050109858 0.270402193069458 0.279181003570557 CIA_Python
2 0.246475100517273 0.00438016653060908 0.245521008968353 0.249901175498962 CIA_Python
4 0.210079431533813 0.00947958230972293 0.20647931098938 0.215958893299103 CIA_Python
8 0.199802875518799 0.00333529710769656 0.196676433086395 0.200011730194092 CIA_Python
16 0.200275182723999 0.00319522619247437 0.19872522354126 0.201920449733734 CIA_Python
32 0.200283169746399 0.00503635406494146 0.196360170841217 0.201396524906158 CIA_Python
64 0.203547716140747 0.00323337316513062 0.200947225093841 0.204180598258972 CIA_Python
1 2.1425285 0.0578257500000001 2.1047355 2.16256125 CIA_R
2 2.1521895 0.1229155 2.083322 2.2062375 CIA_R
4 2.075212 0.0602477499999998 2.0324105 2.09265825 CIA_R
8 2.0243075 0.0142280000000001 2.0180705 2.0322985 CIA_R
16 2.0066035 0.0136089999999998 2.00452625 2.01813525 CIA_R
32 1.996048 0.0218807500000002 1.98393875 2.0058195 CIA_R
64 1.9878245 0.0156550000000002 1.97874575 1.99440075 CIA_R
1 390.1385 2.10075000000006 389.42225 391.523 SingleR
2 294.9165 4.38274999999999 291.22325 295.606 SingleR
4 219.9825 1.76900000000003 219.092 220.861 SingleR
8 195.3055 4.97550000000001 191.16575 196.14125 SingleR
16 158.7515 1.80374999999998 158.05725 159.861 SingleR
32 144.6615 3.24825000000001 143.11175 146.36 SingleR
64 138.169 0.765999999999991 137.85075 138.61675 SingleR
16 7541.19002192467 349.714575562626 7451.24223246053 7800.95680802315 scANVI
32 5431.83535556495 141.004629768431 5395.44811955839 5536.45274932683 scANVI
64 4711.93908952177 182.778073102236 4545.97760637477 4728.75567947701 scANVI
1 1355.95811545849 506.135620653634 1086.86893564462 1593.00455629826 garnett
2 1258.35977172852 287.118722379207 1123.83931535483 1410.95803773403 garnett
4 955.401085853577 246.157675564289 745.043272674083 991.200948238372 garnett
8 820.241545915604 198.033813595772 702.693643152714 900.727456748485 garnett
16 906.121951937675 76.5002464056017 857.834640085697 934.334886491299 garnett
32 827.885040760041 165.008787095547 692.368555963039 857.377343058586 garnett
64 867.589917182922 203.235716402531 696.655493021012 899.891209423542 garnett
1 256.586571097374 0.988245904445648 256.34991312027 257.338159024715 scBalance
2 255.401165604591 2.09641206264496 254.713790357113 256.810202419758 scBalance
4 234.469091057777 1.20636719465256 234.105580985546 235.311948180199 scBalance
8 224.957414269447 0.554050922393799 224.804001629353 225.358052551746 scBalance
16 228.943694353104 0.98085743188858 228.191379308701 229.172236740589 scBalance
32 232.886122345924 3.0815868973732 231.463416576385 234.545003473759 scBalance
64 258.698922038078 10.6134385466576 249.378440499306 259.991879045963 scBalance
