TIME(s)	CPUs
1693.3208792209625	16
2016.5077590942383	32
2523.7669167518616	64
1667.6366646289825	16
2051.0078241825104	32
2484.5575697422028	64
1696.476360321045	16
2009.697294473648	32
2490.7027192115784	64
2745.5652136802673	1
2743.6801438331604	2
1947.8937752246857	4
1773.8950684070587	8
2751.3493456840515	1
2744.1125314235687	2
1931.4773182868958	4
1778.450667142868	8
2753.3370926380157	1
2749.1859085559845	2
1932.4992849826813	4
1778.4962630271912	8
2753.649120092392	1
2750.2453062534332	2
1931.7004430294037	4
1785.8865342140198	8
2751.8354363441467	1
2750.299725294113	2
1929.9140808582306	4
1771.352926492691	8
2752.6440575122833	1
2752.041360616684	2
1935.0985796451569	4
1772.3993730545044	8
2759.152832508087	1
2754.7914052009583	2
1921.9712316989899	4
1777.0220911502838	8
2742.3010790348053	1
2752.318653345108	2
1936.4121367931366	4
1779.8066527843475	8
2753.695647239685	1
2749.5774290561676	2
1932.1372814178467	4
1778.3179004192352	8
2748.9117052555084	1
2751.5831677913666	2
1931.6027057170868	4
1781.4061036109924	8
1686.1200847625732	16
2038.5117733478546	32
2533.801356077194	64
1713.4316766262054	16
2066.066057443619	32
2524.4763445854187	64
1683.6587090492249	16
2098.3182854652405	32
2480.753934621811	64
1701.9562180042267	16
1945.7517538070679	32
2484.260556459427	64
1685.1203002929688	16
1993.9608142375946	32
2512.012578010559	64
1690.4969096183777	16
2053.224373817444	32
2508.1544556617737	64
1705.6079280376434	16
2012.6979358196259	32
2491.7127368450165	64
