TIME(s)	CPUs
706.6742913722992	1
656.7984411716461	2
580.5125799179077	4
565.6856563091278	8
686.2404391765594	16
725.805611371994	32
840.0974307060242	64
722.7762389183044	1
721.1692616939545	2
580.0491802692413	4
543.9426708221436	8
671.3587892055511	16
753.6369087696075	32
853.0935482978821	64
723.0101840496063	1
656.9011669158936	2
624.155523777008	4
545.4853610992432	8
624.8519604206085	16
685.8896384239197	32
847.6538171768188	64
723.0052065849304	1
656.6698286533356	2
623.766303062439	4
578.8170118331909	8
626.6626813411713	16
748.7588555812836	32
900.7062973976135	64
722.5645694732666	1
656.3931047916412	2
580.8851549625397	4
579.2212948799133	8
633.1694512367249	16
746.8788421154022	32
935.6152579784393	64
658.0334935188293	1
656.578527212143	2
580.6749293804169	4
566.2740077972412	8
678.1459033489227	16
683.0607061386108	32
830.6604290008545	64
722.5183217525482	1
656.8026666641235	2
623.9905126094818	4
545.0706977844238	8
630.9976983070374	16
682.9069108963013	32
915.9109930992126	64
723.1943502426147	1
656.7485206127167	2
623.7843046188354	4
545.0544414520264	8
678.2853276729584	16
692.1775014400482	32
944.0263476371765	64
722.3570790290833	1
722.1894655227661	2
623.7807314395905	4
544.6401312351227	8
628.4839129447937	16
690.5803999900818	32
856.8052654266357	64
658.0070109367371	1
721.6366677284241	2
579.6934952735901	4
579.4554629325867	8
674.5023486614227	16
688.589926481247	32
927.2287468910217	64
