TIME(s)	CPUs
256.33721113204956	1
257.69700932502747	2
234.32793879508972	4
228.11694240570068	8
229.2127070426941	16
239.96198678016663	32
246.77638602256775	64
256.67769956588745	1
254.70752573013306	2
232.54715824127197	4
225.69898200035095	8
228.90821838378906	16
234.14761328697205	32
253.61520314216614	64
256.57802653312683	1
255.73828196525574	2
234.09774494171143	4
223.4073896408081	8
227.64784479141235	16
229.15897870063782	32
259.73567962646484	64
258.82739186286926	1
256.4845209121704	2
234.91107273101807	4
224.78704595565796	8
229.38907742500305	16
231.89505410194397	32
247.96618628501892	64
256.3880190849304	1
254.5783634185791	2
234.6102433204651	4
225.44609308242798	8
228.9791703224182	16
235.46816778182983	32
258.3716652393341	64
255.0124921798706	1
256.918762922287	2
235.60354447364807	4
224.92418313026428	8
229.83479952812195	16
232.01253056526184	32
259.0261788368225	64
255.92973399162292	1
255.064049243927	2
231.5934624671936	4
224.99064540863037	8
227.92180180549622	16
233.7597141265869	32
262.6110188961029	64
257.5583121776581	1
257.60607719421387	2
234.12908911705017	4
224.8548686504364	8
229.0508258342743	16
230.60570621490479	32
260.07727885246277	64
257.8144018650055	1
253.7806007862091	2
236.78582620620728	4
224.4240324497223	8
228.75187301635742	16
234.67746686935425	32
260.14963817596436	64
256.5951156616211	1
254.73258423805237	2
235.44557332992554	4
225.09393095970154	8
228.00454807281494	16
231.31953740119934	32
238.91642045974731	64
